batsman,out,numberofballs,average,strikerate,total_runs
V Kohli,152,4111,35.69736842,131.987351,5426
SK Raina,160,3916,33.6625,137.5383044,5386
RG Sharma,161,3742,30.44720497,130.9994655,4902
DA Warner,114,3292,41.37719298,143.2867558,4717
S Dhawan,137,3665,33.58394161,125.5388813,4601
CH Gayle,110,2972,41.13636364,152.2543742,4525
MS Dhoni,118,3206,37.71186441,138.8022458,4450
RV Uthappa,156,3381,28.33333333,130.7305531,4420
AB de Villiers,104,2902,42.44230769,152.1019986,4414
G Gambhir,134,3400,31.48507463,124.0882353,4219
AM Rahane,117,3133,32.76923077,122.3747207,3834
KD Karthik,138,2813,26.58695652,130.4301458,3669
SR Watson,115,2566,31.2173913,139.9064692,3590
AT Rayudu,114,2616,29.06140351,126.6437309,3313
YK Pathan,110,2240,29.29090909,143.8392857,3222
BB McCullum,106,2185,27.22641509,132.0823799,2886
PA Patel,127,2352,22.5511811,121.7687075,2864
MK Pandey,95,2352,30.05263158,121.3860544,2855
KA Pollard,102,1879,27.17647059,147.5252794,2772
Yuvraj Singh,109,2121,25.27522936,129.8915606,2755
V Sehwag,98,1746,27.83673469,156.2428408,2728
M Vijay,93,2104,27.83870968,123.0513308,2589
SE Marsh,65,1866,38.29230769,133.3869239,2489
JH Kallis,89,2219,27.26966292,109.3735917,2427
DR Smith,81,1758,29.44444444,135.665529,2385
SR Tendulkar,71,1943,32.87323944,120.1235203,2334
SV Samson,79,1693,28.03797468,130.8328411,2215
R Dravid,77,1877,28.23376623,115.823122,2174
AC Gilchrist,76,1492,27.22368421,138.6729223,2069
SPD Smith,59,1570,34.54237288,129.8089172,2038
JP Duminy,49,1633,41.44897959,124.3723209,2031
KL Rahul,49,1428,40.57142857,139.2156863,1988
MEK Hussey,52,1608,38.01923077,122.9477612,1977
RA Jadeja,83,1567,23.26506024,123.2291002,1931
F du Plessis,56,1459,33.23214286,127.5531186,1861
DA Miller,54,1327,34.40740741,140.0150716,1858
